arcPos	arcNr	speedSetting	calmWaterSpeed(k)	sogAllInclusive(k)	distance(k)	accumDist(km)	distLeft(km)	time(h)	fuelBase	emission	safetyBase	channelCost	maxWindSpeed	maxWaveHeight	weightCost	fromLevel	fromPointNr	fromTimeInterval	toLevel	toPointNr	toTimeInterval	lat1	lon1	lat2	lon2	WindFactor	WaveFactor	CurrentFactor	DelayFactor	WindSpeedDiff(k)	WaveSpeedDiff(k)	CurrentSpeedDiff(k)	DelaySpeedDiff(k)	dollarCostArcs	forecastType	exactTime	dollarCostExact	fuelCostExact	timeCostExact	channelCost
15	15016	0	13.000000	13.466499	90.968134	2601.697374	5375.468306	6.755144	7315.564633	28.814180	0.000000	0.000000	17.109053	1.860000	394064.572405	15	33	429	16	32	456	-41.274952	46.312578	-39.319392	47.015906	-1.339	-3.435	8.110	0.000	-0.191	-0.491	1.159	0.000	11256.065	Fcst	113.670345	11260.831568	7320.331035	3940.500533	0.000000
16	17191	0	13.000000	12.291633	89.790870	2770.170357	5206.995322	7.305040	7917.649875	31.185643	0.000000	0.000000	19.717288	1.800000	426143.056093	16	32	456	17	33	485	-39.319392	47.015906	-37.161158	47.304268	-0.642	-2.668	-1.283	0.000	-0.093	-0.386	-0.186	0.000	12178.923	Fcst	120.975385	12178.642053	7917.368632	4261.273420	0.000000
17	19499	0	13.000000	12.817867	88.597899	2936.463049	5040.702630	6.912062	7495.023543	29.521024	0.000000	0.000000	24.028617	1.890000	403218.511688	17	33	485	18	34	513	-37.161158	47.304268	-35.026237	47.610814	-0.520	-2.108	1.416	0.000	-0.076	-0.309	0.208	0.000	11527.060	Fcst	127.887447	11524.881140	7492.844776	4032.036364	0.000000
18	21852	0	13.000000	12.958214	91.243227	3100.546358	4876.619322	7.041343	7627.899823	30.044390	0.000000	0.000000	31.092934	2.090000	410760.123937	18	34	513	19	34	541	-35.026237	47.610814	-32.889951	48.116301	-0.409	-0.466	0.585	0.000	-0.058	-0.066	0.083	0.000	11735.350	Fcst	134.928790	11731.498803	7624.048953	4107.449849	0.000000
19	24468	0	13.000000	13.212438	92.005277	3269.528814	4707.636866	6.963535	7539.286574	29.695365	0.000000	0.000000	36.325141	2.330000	406221.198307	19	34	541	20	35	569	-32.889951	48.116301	-30.626061	48.392501	-0.026	0.185	1.351	0.000	-0.004	0.026	0.191	0.000	11601.349	Fcst	141.892325	11598.674972	7536.612621	4062.062352	0.000000
20	27134	0	13.000000	13.430631	92.069124	3439.922587	4537.243093	6.855160	7417.717955	29.216537	0.000000	0.000000	37.916065	2.360000	399899.066446	20	35	569	21	36	596	-30.626061	48.392501	-28.338182	48.625377	0.052	0.392	2.660	0.000	0.007	0.055	0.376	0.000	11416.561	Fcst	148.747485	11418.767861	7419.924415	3998.843446	0.000000
21	29846	0	13.000000	13.093021	89.883825	3610.434605	4366.731074	6.865018	7428.161458	29.257671	0.000000	0.000000	38.523699	2.500000	400474.134269	21	36	596	22	36	623	-28.338182	48.625377	-26.137931	49.002333	0.095	0.305	0.275	0.000	0.014	0.044	0.040	0.000	11432.755	Fcst	155.612503	11435.025036	7430.431119	4004.593917	0.000000
22	32847	0	13.000000	12.972631	89.405799	3776.899449	4200.266230	6.891879	7456.831698	29.370596	0.000000	0.000000	35.675343	2.510000	402041.056069	22	36	623	23	37	651	-26.137931	49.002333	-23.891934	49.240981	0.081	-0.167	-0.100	0.000	0.012	-0.024	-0.015	0.000	11477.094	Fcst	162.504382	11479.459620	7459.197054	4020.262566	0.000000
23	35809	0	13.000000	13.209625	90.843869	3942.478989	4034.686690	6.877097	7441.054489	29.308453	0.000000	0.000000	39.141999	2.650000	401178.756710	23	37	651	24	37	679	-23.891934	49.240981	-21.648002	49.641783	-0.267	0.056	1.688	0.000	-0.038	0.008	0.242	0.000	11452.694	Fcst	169.381479	11455.629754	7443.989868	4011.639885	0.000000
24	39010	0	13.000000	12.982088	89.985598	4110.721835	3866.443844	6.931519	7500.944167	29.544344	0.000000	0.000000	40.662378	2.730000	404353.517229	24	37	679	25	37	707	-21.648002	49.641783	-19.415835	50.060114	-0.726	-0.633	1.247	0.000	-0.105	-0.091	0.180	0.000	11544.330	Fcst	176.312998	11547.551053	7504.164751	4043.386302	0.000000
25	42418	0	13.000000	13.004345	90.477702	4277.375163	3699.790517	6.957498	7529.257235	29.655862	0.000000	0.000000	40.924904	2.720000	405868.992980	25	37	707	26	38	735	-19.415835	50.060114	-17.089711	50.287249	-0.997	-0.399	1.429	0.000	-0.143	-0.057	0.205	0.000	11587.798	Fcst	183.270496	11591.300117	7532.759620	4058.540498	0.000000
26	45940	0	13.000000	13.057570	90.230708	4444.939867	3532.225813	6.910222	7477.685413	29.452733	0.000000	0.000000	38.728837	2.530000	403111.119212	26	38	735	27	39	763	-17.089711	50.287249	-14.755825	50.499111	-0.782	-0.009	1.199	0.000	-0.113	-0.001	0.173	0.000	11508.648	Fcst	190.180718	11512.691167	7481.728383	4030.962783	0.000000
27	49569	0	13.000000	13.040917	90.655302	4612.047138	3365.118541	6.951605	7527.665296	29.649592	0.000000	0.000000	35.384940	2.260000	405525.223297	27	39	763	28	40	791	-14.755825	50.499111	-12.407698	50.745580	-0.512	0.332	0.466	0.000	-0.073	0.048	0.067	0.000	11582.768	Fcst	197.132323	11580.840404	7525.737572	4055.102832	0.000000
28	53282	0	13.000000	13.118487	85.320228	4779.940758	3197.224922	6.503816	7042.468411	27.738522	0.000000	0.000000	26.465387	2.020000	379403.260933	28	40	791	29	41	817	-12.407698	50.745580	-10.178118	50.938947	-0.375	0.292	0.862	0.000	-0.057	0.045	0.131	0.000	10836.361	Fcst	203.636140	10833.684827	7039.791988	3793.892838	0.000000
29	55130	0	13.000000	12.979618	84.115163	4937.953820	3039.211859	6.480558	7006.059808	27.595118	0.000000	0.000000	29.304552	1.920000	378046.430782	29	41	817	30	43	843	-10.178118	50.938947	-8.109843	51.471588	-0.294	-0.147	0.310	0.000	-0.045	-0.023	0.048	0.000	10786.385	Fcst	210.116697	10784.818403	7004.493144	3780.325259	0.000000
30	56380	0	13.000000	12.992697	91.383445	5093.735103	2883.430576	7.033447	7596.981300	29.922610	0.000000	0.000000	28.665496	1.350000	410299.485828	30	43	843	31	45	871	-8.109843	51.471588	-5.808033	52.005511	-1.025	-0.003	0.980	0.000	-0.146	-0.000	0.139	0.000	11699.825	Fcst	217.150144	11699.825382	7596.981300	4102.844082	0.000000
31	57956	0	13.000000	12.957845	88.257641	5262.977244	2714.188435	6.811136	7356.857833	28.976824	0.000000	0.000000	42.326750	1.230000	397330.843249	31	45	871	32	45	898	-5.808033	52.005511	-5.157422	53.421673	-0.155	-0.233	0.102	0.000	-0.023	-0.034	0.015	0.000	11330.020	Fcst	223.961280	11330.020255	7356.857833	3973.162422	0.000000
32	58628	0	13.000000	12.827873	93.166359	5426.430395	2550.735284	7.262807	7844.717605	30.898381	0.000000	0.000000	36.794413	1.220000	423679.284252	32	45	898	33	0	927	-5.157422	53.421673	-3.000053	53.416707	-1.549	-0.450	0.772	0.000	-0.216	-0.063	0.108	0.000	12081.355	Fcst	231.224086	12081.354754	7844.717605	4236.637149	0.000000
