Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.81593344206232E-02
5	0.5	1	0	4.13523887767008E-02
5	0.75	1	0	7.46128830036873E-02
5	1	1	0	0.122974537037037
5	1.25	1	0	0.189986627399461
5	1.5	1	0	0.273260638444041
5	1.75	1	0	0.368923611111111
5	2	1	0	0.474818531290145
5	2.25	1	0	0.595652164753388
5	2.5	1	0	0.737847222222222
5	2.75	1	0	0.904445098907066
5	3	1	0	1.08496192325321
5	3.25	1	0	1.26553250819496
5	3.5	1	0	1.43229166666667
5	3.75	1	0	1.57519589712912
5	4	1	0	1.69948844066649
5	4.25	1	0	1.81423422388939
5	4.5	1	0	1.92849817340849
5	4.75	1	0	2.0513452158344
5	5	1	0	2.19184027777778
5	5.25	1	0	2.3551886617012
5	5.5	1	0	2.53115717606205
5	5.75	1	0	2.70565300516965
5	6	1	0	2.86458333333333
5	6.25	1	0	2.99753999747231
5	6.5	1	0	3.10885344707963
5	6.75	1	0	3.20653878425825
5	7	1	0	3.29861111111111
5	7.25	1	0	3.39158286661755
5	7.5	1	0	3.48595584232734
5	7.75	1	0	3.58072916666667
5	8	1	0	3.67510214237646
5	8.25	1	0	3.76907476945672
5	8.5	1	0	3.86284722222222
5	0	1	2	0
5	0.25	1	2	1.80945558737617E-02
5	0.5	1	2	4.11426765434608E-02
5	0.75	1	2	7.40979268191546E-02
5	1	1	2	0.121913871473247
5	1.25	1	2	0.188124821933779
5	1.5	1	2	0.270588060046173
5	1.75	1	2	0.365741614466808
5	2	1	2	0.471496060807422
5	2.25	1	2	0.59165216221984
5	2.5	1	2	0.731483228933616
5	2.75	1	2	0.893336532101492
5	3	1	2	1.067855183106
5	3.25	1	2	1.24275625393279
5	3.5	1	2	1.40575681709468
5	3.75	1	2	1.54795468686053
5	4	1	2	1.67397064614504
5	4.25	1	2	1.79180622152045
5	4.5	1	2	1.90946293797755
5	4.75	1	2	2.03494232141085
5	5	1	2	2.17624589733827
5	5.25	1	2	2.33795242026839
5	5.5	1	2	2.51094956275904
5	5.75	1	2	2.68270222583152
5	6	1	2	2.84067531148612
5	6.25	1	2	2.97552606869584
5	6.5	1	2	3.09068114493218
5	6.75	1	2	3.19275953546773
5	7	1	2	3.28838023437016
5	7.25	1	2	3.38304786971696
5	7.5	1	2	3.47780959902916
5	7.75	1	2	3.57259821323516
5	8	1	2	3.66735994284859
5	8.25	1	2	3.76209478847191
5	8.5	1	2	3.85681619179894
5	0	1	4	0
5	0.25	1	4	1.80284096369532E-02
5	0.5	1	4	0.040930402124857
5	0.75	1	4	7.35795603423564E-02
5	1	1	4	0.120849467094245
5	1.25	1	4	0.186259221856839
5	1.5	1	4	0.267909976876325
5	1.75	1	4	0.362548401375049
5	2	1	4	0.468152291288829
5	2.25	1	4	0.587623948726428
5	2.5	1	4	0.725096802750098
5	2.75	1	4	0.882229897758973
5	3	1	4	1.05078473727764
5	3.25	1	4	1.22004843953982
5	3.5	1	4	1.37930812381318
5	3.75	1	4	1.52079438000774
5	4	1	4	1.64851168329392
5	4.25	1	4	1.76940798321399
5	4.5	1	4	1.89043122620849
5	4.75	1	4	2.01852936049038
5	5	1	4	2.16065033353411
5	5.25	1	4	2.32075091377701
5	5.5	1	4	2.49082315510346
