windSpeed	relativeAngle	shipSpeed	value
1	0	5	1.33093800214693E-06
1	0.832745573421944	5	1.20819321802387E-04
1	1.66196100935926	5	1.44612612998798E-04
1	2.48409829788568	5	1.43850904994214E-04
1	3.29557376974449	5	1.49753117495841E-04
1	4.09275049529302	5	1.60273185997953E-04
1	4.87192099979182	5	2.02081599295969E-04
1	5.62929047284066	5	3.06206711398149E-04
1	6.36096071645427	5	3.01450568578592E-04
1	7.06291516547347	5	3.9363177358927E-04
1	7.73100542955195	5	4.48385073380307E-04
1	8.3609399522593	5	4.38815090542587E-04
1	8.94827556462708	5	5.19009863859298E-04
1	9.48841293228737	5	5.06054341249212E-04
1	9.97659716076109	5	5.37635484739873E-04
1	10.4079251336721	5	5.22430921893194E-04
1	10.7773615106102	5	6.14527972265123E-04
1	11.0797656947755	5	5.95364629294917E-04
1	11.3099324740202	5	5.76054330599195E-04
1	11.4626494048592	5	5.56744039329866E-04
1	11.5327742875568	5	6.52762156416423E-04
1	11.5153361829593	5	6.2984845438512E-04
1	11.4056632258823	5	5.00276135162117E-04
1	11.1995398379713	5	4.82418782539023E-04
1	10.8933946491309	5	4.65274058326481E-04
1	10.484518307592	5	3.70315280667047E-04
1	9.97130723521349	5	3.57667344564428E-04
1	9.353525208112	5	3.16912182400776E-04
1	8.63256954578244	5	3.070446710857E-04
1	7.8117230989222	5	2.46239812443805E-04
1	6.89636793222882	5	2.06387515432217E-04
1	5.89413277461933	5	1.51680410410977E-04
1	4.81494537494281	5	9.68014954327556E-05
1	3.67096422112091	5	7.4693170371573E-05
1	2.4763725059582	5	6.5157228641399E-05
1	1.24703058964111	5	5.38818662265454E-05
1	2.49999997620336E-03	5	5.91288521521656E-07
1	0	6	1.81171014980921E-06
1	0.713730554220195	6	1.64469345417582E-04
1	1.42412777149046	6	1.64010269918197E-04
1	2.12784647189636	6	1.96018780596317E-04
1	2.82151797828422	6	2.04241960147977E-04
1	3.50173885234177	6	2.18839883961704E-04
1	4.16506024900543	6	2.16630304687884E-04
1	4.80797815748515	6	2.73034863539128E-04
1	5.42692485248258	6	2.69319208808339E-04
1	6.01826195054938	6	4.07350040678657E-04
1	6.57827555511057	6	5.32207318346722E-04
1	7.10317408033154	6	5.22321725780075E-04
1	7.58908946897494	6	5.94568406655114E-04
1	8.03208266173777	6	5.81728675882356E-04
1	8.42815433241336	6	5.68355263839627E-04
1	8.77326206877758	6	6.71463095458194E-04
1	9.06334534329923	6	6.5435151733693E-04
1	9.29435976474647	6	6.36974430547498E-04
1	9.46232220802562	6	6.19464085484567E-04
1	9.56336845230783	6	6.57039769494558E-04
1	9.59382487312071	6	6.38072480600006E-04
1	9.55029547809555	6	6.19395010817676E-04
1	9.42976508483881	6	5.5074932933045E-04
1	9.22971864547086	6	5.34556495349462E-04
1	8.94827556462708	6	5.19009863859298E-04
1	8.58433629777866	6	5.04227753393958E-04
1	8.13773656191702	6	4.04949255359837E-04
1	7.60940222174397	6	3.94276998845809E-04
1	7.00149551348363	6	3.30980947796911E-04
1	6.31754103694823	6	2.4332588203806E-04
1	5.56251830239617	6	2.38288498964791E-04
1	4.74290705654641	6	1.52313810535895E-04
1	3.86667261831213	6	1.17582710941417E-04
1	2.94318138117319	6	1.07496752156115E-04
1	1.98304155751473	6	1.01586286183779E-04
1	0.997870823032071	6	8.41443398694908E-05
1	1.9999999829427E-03	6	9.24130735810513E-07
1	0	7	2.36644726415821E-06
1	0.624479351689207	7	2.14838737766329E-04
1	1.24583333225974	7	2.14303149185774E-04
1	1.86092921349558	7	2.56254844767224E-04
1	2.46661978471589	7	2.54773273430315E-04
1	3.05973670105437	7	2.65214898834688E-04
1	3.63708456775433	7	2.83970856971529E-04
1	4.19543605368662	7	2.80971225785965E-04
1	4.73152836861745	7	3.54046985941204E-04
1	5.24206149050915	7	3.49236166564146E-04
1	5.72369859097359	7	5.28375108652609E-04
1	6.17306917801438	7	5.1969741443952E-04
1	6.58677555362946	7	6.78450566394127E-04
1	6.96140326666509	7	6.65555813996514E-04
1	7.29353632370172	7	6.52125093255686E-04
1	7.57977799550728	7	7.41462094622321E-04
1	7.8167781134514	7	7.24974528725093E-04
1	8.00126777524218	7	7.08231136431349E-04
1	8.13010235415598	7	6.91359345216712E-04
1	8.20031360781743	7	6.7448755952725E-04
1	8.20917148470054	7	6.57744183909912E-04
1	8.15425589934527	7	6.41256645452317E-04
1	8.03353826155401	7	6.251504237731E-04
1	7.84547187640955	7	6.09548096703133E-04
1	7.58908946897494	7	5.94568406655114E-04
1	7.2641050397395	7	4.99552031351105E-04
1	6.87101606633693	7	4.8801884770324E-04
1	6.41120081841657	7	3.59125672173021E-04
1	5.88700437962128	7	3.51736095079864E-04
1	5.30180605520618	7	2.24654602733186E-04
1	4.66006040208254	7	2.2082854852634E-04
1	3.96730437125137	7	1.7055163230413E-04
1	3.2301241823241	7	1.5587653593459E-04
1	2.45607764365527	7	1.47149878280305E-04
1	1.6535706312092	7	1.46083487022672E-04
1	0.831690108507448	7	1.21126150274469E-04
1	1.66666665350525E-03	7	1.33093796334655E-06
1	0	8	2.99514936847415E-06
1	0.555068021927927	8	2.71927519117949E-04
1	1.10721002280836	8	2.71315417138062E-04
1	1.65349593690892	8	3.24559126467543E-04
1	2.19098785218065	8	3.22865899823214E-04
1	2.7167367022572	8	3.36344241861078E-04
1	3.22777971763081	8	3.33617469036997E-04
1	3.72113892377078	8	3.57025410216966E-04
1	4.19382100305537	8	3.53141304602789E-04
1	4.64281887274069	8	4.44937630532832E-04
1	5.06511537174329	8	4.38937519116134E-04
1	5.45768949313032	8	4.32481050756869E-04
1	5.81752564444358	8	6.53763953823205E-04
1	6.14162646079862	8	6.42675790188265E-04
1	6.42702973118619	8	6.31126748465598E-04
1	6.67083001995199	8	8.22963052970962E-04
1	6.87020556446774	8	8.06742757093193E-04
1	7.02245099580202	8	7.90270781633463E-04
1	7.1250163489018	8	7.73672488528837E-04
1	7.17555268778523	8	7.57074200933865E-04
1	7.17196445402296	8	7.40602241684937E-04
1	7.1124683385447	8	7.2438197221471E-04
1	6.99565806592366	8	7.08536838225577E-04
1	6.82057396176264	8	6.93187430409909E-04
1	6.58677555362946	8	6.78450566394127E-04
1	6.29441475606789	8	4.99929539964699E-04
1	5.94430645303396	8	4.90012180908826E-04
1	5.53799258295177	8	4.80795804863033E-04
1	5.07779524254357	8	3.07512665280657E-04
1	4.56685396461038	8	3.02558455630932E-04
1	4.0091423083372	8	2.33777525410395E-04
1	3.40945933377928	8	2.13645818340664E-04
1	2.77339248550727	8	2.11385956125394E-04
1	2.10724989458072	8	1.99867586767623E-04
1	1.41796205347727	8	1.65439412916142E-04
1	0.712955067289236	8	1.64827312232188E-04
1	1.42857141791517E-03	8	1.81171018084952E-06
1	0	9	3.69781640067642E-06
1	0.499543059998384	9	3.69528327866311E-06
1	0.996344151562032	9	3.35047096581926E-04
1	1.48765971491556	9	3.33905228609198E-04
1	1.97074324578448	9	3.99026775515281E-04
1	2.44284442390956	9	3.96602588496253E-04
1	2.9012089771797	9	4.12867504515506E-04
1	3.34307955058337	9	4.09297957939077E-04
1	3.76569786864849	9	4.37852164255107E-04
1	4.16630850283322	9	4.33002848477357E-04
1	4.54216458014051	9	5.45549974758926E-04
1	4.89053579421862	9	5.38286432564491E-04
1	5.20871910285511	9	5.30564767870236E-04
1	5.49405251271336	9	5.22443747554853E-04
1	5.74393235903997	9	7.89500495235975E-04
1	5.95583447940991	9	7.76088175927504E-04
1	6.12733964970902	9	7.62358326371872E-04
1	6.2561635896899	9	7.4841543926058E-04
1	6.34019174590991	9	7.34365628442869E-04
1	6.3775189126473	9	7.20315821543996E-04
1	6.3664935480061	9	7.06372946057301E-04
1	6.30576637624943	9	6.92643115436257E-04
1	6.1943425355209	9	6.79230821922283E-04
1	6.03163613556975	9	6.66238140834181E-04
1	5.81752564444358	9	6.53763953823205E-04
1	5.55240804890902	9	6.41903196673253E-04
1	5.23724926600832	9	4.1063219186331E-04
1	4.87362787137748	9	4.03882071262872E-04
1	4.46376891398031	9	3.11793992595602E-04
1	4.01056447369125	9	3.07424377632531E-04
1	3.51757775305908	9	3.03567707220469E-04
1	2.98902793003093	9	2.77899205604521E-04
1	2.42975376076392	9	2.62558363447472E-04
1	1.84515499873775	9	2.60653485701683E-04
1	1.2411120290693	9	2.15936457099865E-04
1	0.623885597978982	9	2.1524784317178E-04
1	1.24999999107646E-03	9	2.36644729519852E-06
1	0	10	4.47444847716617E-06
1	0.4541163367351	10	4.47163384283084E-06
1	0.905658004354624	10	4.0549821297818E-04
1	1.35205057061779	10	4.04229468968678E-04
1	1.79072030249797	10	4.8325593704872E-04
1	2.21909508301529	10	4.80562391447524E-04
1	2.63460601852323	10	5.00579122116603E-04
1	3.0346899823001	10	4.96612952350884E-04
1	3.41679335248312	10	4.92119275364568E-04
1	3.77837721590246	10	5.26317124745845E-04
1	4.11692432288779	10	5.20437003934748E-04
1	4.42994808983923	10	5.1410965229576E-04
1	4.71500395394821	10	6.47173251197766E-04
1	4.96970338496619	10	6.38149874457702E-04
1	5.19173084870971	10	6.28751441831659E-04
1	5.37886399170859	10	6.19049481179743E-04
1	5.52899727103999	10	9.35628245390017E-04
1	5.64016918243496	10	9.20136095648375E-04
1	5.71059313749964	10	9.04525141933344E-04
1	5.73869190199711	10	8.88914192967479E-04
1	5.72313532731611	10	8.73422057620781E-04
1	5.66288088436169	10	8.58166640070161E-04
1	5.5572162443915	10	8.43264043052683E-04
1	5.4058028508927	10	5.39588125373067E-04
1	5.20871910285511	10	5.30564767870236E-04
1	4.96650144264706	10	5.21985141889344E-04
1	4.68018133907932	10	5.13914543288872E-04
1	4.35131591358595	10	3.97028511533337E-04
1	3.9820098156182	10	3.91640387270663E-04
