Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.020167267146969
5	1	0	-1.05194488080851E-02
5	2	0	-1.15031776571069E-02
5	3	0	-1.09037832997117E-02
5	4	0	-0.006454136295066
5	5	0	-3.44546145775684E-03
5	6	0	-1.85446471210247E-03
5	7	0	2.09739199190379E-02
5	8	0	5.08526602752262E-02
5	9	0	8.07008791868188E-02
5	10	0	0.111812109988959
5	11	0	0.143825238842632
5	12	0	0.170141021268686
5	13	0	0.19100436751511
5	14	0	0.207422081570619
5	15	0	0.235062471957872
5	16	0	0.289849272499617
5	17	0	0.376327122502117
5	18	0	0.484206831148992
5	19	0	0.591391580982008
5	20	0	0.693006276916599
5	21	0	0.803156984384602
5	22	0	0.923022547171733
5	23	0	1.05580614347461
5	24	0	1.17466104063303
5	25	0	1.25752553414065
5	26	0	1.32353619155579
5	27	0	1.40699621431818
5	28	0	1.51843647884989
5	29	0	1.62956978511874
5	30	0	1.71934766353743
5	31	0	1.80901220352511
5	0	2	-2.00619854802675E-02
5	1	2	-1.05283620565422E-02
5	2	2	-1.09103816131687E-02
5	3	2	-9.70070816797712E-03
5	4	2	-5.39845320222215E-03
5	5	2	-2.2859296566454E-03
5	6	2	-1.97310588763736E-04
5	7	2	2.16387511838422E-02
5	8	2	5.00754813877015E-02
5	9	2	7.92480097072168E-02
5	10	2	0.109710185280228
5	11	2	0.140736509625
5	12	2	0.166934982936637
5	13	2	0.188021196238719
5	14	2	0.205041454477461
5	15	2	0.23249611436864
5	16	2	0.28488584746531
5	17	2	0.367290216167658
5	18	2	0.470720430388276
5	19	2	0.5761498240399
5	20	2	0.679783245405603
5	21	2	0.791819546230841
5	22	2	0.913534726022343
5	23	2	1.04658389241465
5	24	2	1.16553102015238
5	25	2	1.25010225332769
5	26	2	1.31820523311114
5	27	2	1.40297986979727
5	28	2	1.51439342196182
5	29	2	1.62560635761469
5	30	2	1.71661574496543
5	31	2	1.80745776706815
5	0	4	-0.019956703813566
5	1	4	-1.05395874814944E-02
5	2	4	-1.03215943122774E-02
5	3	4	-8.52936125754246E-03
5	4	4	-4.34862967844885E-03
5	5	4	-1.12613657193678E-03
5	6	4	1.46358315612762E-03
5	7	4	2.23452741620799E-02
5	8	4	4.93534142731961E-02
5	9	4	7.78743326889381E-02
5	10	4	0.107724248869594
5	11	4	0.137735440946355
5	12	4	0.163813877031227
5	13	4	0.185093444030292
5	14	4	0.202690581449514
5	15	4	0.229977316383504
5	16	4	0.280001840637103
5	17	4	0.358462819667748
5	18	4	0.457402527118428
5	19	4	0.561127617120476
5	20	4	0.666829661294272
5	21	4	0.780635773691621
5	22	4	0.90415937160452
5	23	4	1.03745498622089
5	24	4	1.1564526922062
5	25	4	1.24268237414968
5	26	4	1.31281137306673
5	27	4	1.39882705535898
5	28	4	1.51016204782806
5	29	4	1.62139166253169
5	30	4	1.71360484061246
5	31	4	1.80561311037781
5	0	6	-1.98514221468645E-02
5	1	6	-1.05531352805963E-02
5	2	6	-9.73650527117367E-03
5	3	6	-7.39295143786886E-03
5	4	6	-3.30391164084495E-03
5	5	6	3.43016463083082E-05
5	6	6	3.12724195434011E-03
5	7	6	2.30820613894042E-02
5	8	6	0.048678053775342
5	9	6	7.65739461950316E-02
5	10	6	0.10585928222423
5	11	6	0.134833918382183
5	12	6	0.160787506225552
5	13	6	0.18223117040165
5	14	6	0.200380010572185
5	15	6	0.227518776807129
5	16	6	0.27520934185555
5	17	6	0.349874946168374
5	18	6	0.444272460559838
5	19	6	0.546349718824564
5	20	6	0.654179088708082
5	21	6	0.769637548375688
5	22	6	0.89492375869646
5	23	6	1.02844301884408
5	24	6	1.1474448708045
5	25	6	1.23528453582709
5	26	6	1.30736911129756
5	27	6	1.39454435720167
