Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.48366800136433E-02
5	0.5	1	0	3.38660028366441E-02
5	0.75	1	0	6.12806112783599E-02
5	1	1	0	0.101273148148148
5	1.25	1	0	0.156746430733575
5	1.5	1	0	0.225443968263363
5	1.75	1	0	0.303819444444444
5	2	1	0	0.390033524944792
5	2.25	1	0	0.489074811770546
5	2.5	1	0	0.607638888888889
5	2.75	1	0	0.749701724174277
5	3	1	0	0.908360802827196
5	3.25	1	0	1.07399399395541
5	3.5	1	0	1.23697916666667
5	3.75	1	0	1.38983720098622
5	4	1	0	1.53366103457908
5	4.25	1	0	1.67168661602773
5	4.5	1	0	1.80714989391466
5	4.75	1	0	1.94328681682236
5	5	1	0	2.08333333333333
5	5.25	1	0	2.2289665645965
5	5.5	1	0	2.37562833133981
5	5.75	1	0	2.51720162685766
5	6	1	0	2.64756944444444
5	6.25	1	0	2.76223272706476
5	6.5	1	0	2.86316420278227
5	6.75	1	0	2.95395454933087
5	7	1	0	3.03819444444444
5	7.25	1	0	3.11908165868199
5	7.5	1	0	3.19824233826054
5	7.75	1	0	3.27690972222222
5	8	1	0	3.35607040180077
5	8.25	1	0	3.43572437699617
5	8.5	1	0	3.515625
5	0	1	2	0
5	0.25	1	2	1.47220567451886E-02
5	0.5	1	2	3.35483129544408E-02
5	0.75	1	2	6.05829680918204E-02
5	1	1	2	9.99302216025643E-02
5	1.25	1	2	0.154468388650344
5	1.5	1	2	0.222172240654101
5	1.75	1	2	0.299790664807693
5	2	1	2	0.385552513490041
5	2.25	1	2	0.483606506736126
5	2.5	1	2	0.599581329615386
5	2.75	1	2	0.736805720227615
5	3	1	2	0.889408612680159
5	3.25	1	2	1.04921899335766
5	3.5	1	2	1.20806584984966
5	3.75	1	2	1.35954882177148
5	4	1	2	1.50435017020761
5	4.25	1	2	1.64492280947323
5	4.5	1	2	1.78371965328104
5	4.75	1	2	1.92319361609684
5	5	1	2	2.06579761185927
5	5.25	1	2	2.21268931060233
5	5.5	1	2	2.35984540822386
5	5.75	1	2	2.50194735679238
5	6	1	2	2.63367660920477
5	6.25	1	2	2.75106435153408
5	6.5	1	2	2.85554070185331
5	6.75	1	2	2.94988551359552
5	7	1	2	3.03687864034437
5	7.25	1	2	3.11915411252196
5	7.5	1	2	3.19876268339533
5	7.75	1	2	3.27760928246749
5	8	1	2	3.35721785334086
5	8.25	1	2	3.43758839601543
5	8.5	1	2	3.51833992579551
5	0	1	4	0
5	0.25	1	4	1.46082524552488E-02
5	0.5	1	4	3.32326504199652E-02
5	0.75	1	4	5.98893394036168E-02
5	1	1	4	9.85944648787457E-02
5	1.25	1	4	0.152202005966865
5	1.5	1	4	0.218917269141578
5	1.75	1	4	0.295783394636237
5	2	1	4	0.381097167900104
5	2.25	1	4	0.478169960587305
5	2.5	1	4	0.591566789272474
5	2.75	1	4	0.723970933999711
5	3	1	4	0.87053871476043
5	3.25	1	4	1.02454471353849
5	3.5	1	4	1.17926351468098
5	3.75	1	4	1.32936945373604
5	4	1	4	1.47513588374848
5	4.25	1	4	1.61823591132739
5	4.5	1	4	1.76034264190023
5	4.75	1	4	1.90312918237151
5	5	1	4	2.04826863861179
5	5.25	1	4	2.19640129072583
5	5.5	1	4	2.3440361096073
5	5.75	1	4	2.48664924053176
5	6	1	4	2.61971683039947
5	6.25	1	4	2.73979768943428
5	6.5	1	4	2.84778129283477
5	6.75	1	4	2.94563978340647
5	7	1	4	3.0353453042503
5	7.25	1	4	3.11897052776508
5	7.5	1	4	3.19899026977008
5	7.75	1	4	3.27797987420086
5	8	1	4	3.35799961620586
5	8.25	1	4	3.43904949578508
5	8.5	1	4	3.52061444651465
5	0	1	6	0
5	0.25	1	6	1.44960861223387E-02
5	0.5	1	6	3.29210425809446E-02
5	0.75	1	6	5.92037397120849E-02
5	1	1	6	9.72730477984576E-02
