Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.93258826955032E-02
5	0.5	1	0	4.35805558313236E-02
5	0.75	1	0	7.76928098477785E-02
5	1	1	0	0.126591435185185
5	1.25	1	0	0.194037843151084
5	1.5	1	0	0.279123953175468
5	1.75	1	0	0.379774305555556
5	2	1	0	0.494105751892902
5	2.25	1	0	0.621004385529357
5	2.5	1	0	0.759548611111111
5	2.75	1	0	0.908023670394507
5	3	1	0	1.06154215380749
5	3.25	1	0	1.21442348888816
5	3.5	1	0	1.3609871031746
5	3.75	1	0	1.49729989723748
5	4	1	0	1.62641866152327
5	4.25	1	0	1.75314765951101
5	4.5	1	0	1.88229115467972
5	4.75	1	0	2.01865341050843
5	5	1	0	2.16703869047619
5	5.25	1	0	2.33001197736326
5	5.5	1	0	2.50118113041574
5	5.75	1	0	2.67191472818099
5	6	1	0	2.83358134920635
5	6.25	1	0	2.97935837740956
5	6.5	1	0	3.10965842949892
5	6.75	1	0	3.2267029275531
5	7	1	0	3.33271329365079
5	7.25	1	0	3.43015270571288
5	7.5	1	0	3.52245137034626
5	7.75	1	0	3.61328125
5	8	1	0	3.70557991463337
5	8.25	1	0	3.79934736424638
5	8.5	1	0	3.89384920634921
5	0	1	2	0
5	0.25	1	2	1.92431260330328E-02
5	0.5	1	2	4.33501014382923E-02
5	0.75	1	2	7.71847755920395E-02
5	1	1	2	0.125610997881293
5	1.25	1	2	0.192372449776609
5	1.5	1	2	0.27673216107407
5	1.75	1	2	0.376832993633122
5	2	1	2	0.490842074355769
5	2.25	1	2	0.617023588781451
5	2.5	1	2	0.753665987266244
5	2.75	1	2	0.898581886057957
5	3	1	2	1.04768056581043
5	3.25	1	2	1.19639547271962
5	3.5	1	2	1.34016005305675
5	3.75	1	2	1.4758342655439
5	4	1	2	1.60598411425781
5	4.25	1	2	1.7346021155808
5	4.5	1	2	1.86568078598128
5	4.75	1	2	2.00321264199219
5	5	1	2	2.1511901997753
5	5.25	1	2	2.31174329748725
5	5.5	1	2	2.47955105804677
5	5.75	1	2	2.64742992538842
5	6	1	2	2.80819634548542
5	6.25	1	2	2.95598682791512
5	6.5	1	2	3.09021815946286
5	6.75	1	2	3.21162719388537
5	7	1	2	3.32095078440145
5	7.25	1	2	3.41959107159866
5	7.5	1	2	3.51161134702353
5	7.75	1	2	3.60174019053804
5	8	1	2	3.69376046566169
5	8.25	1	2	3.78767217303996
5	8.5	1	2	3.88252959658857
5	0	1	4	0
5	0.25	1	4	0.019159736700426
5	0.5	1	4	4.31184300884433E-02
5	0.75	1	4	7.66750368595557E-02
5	1	1	4	0.124628513730367
5	1.25	1	4	0.19070469695751
5	1.5	1	4	0.274336956338171
5	1.75	1	4	0.373885541170002
5	2	1	4	0.48756771333965
5	2.25	1	4	0.613028785472544
5	2.5	1	4	0.747771082340004
5	2.75	1	4	0.889136967639668
5	3	1	4	1.03382896220464
5	3.25	1	4	1.17838962510857
5	3.5	1	4	1.31936151557284
5	3.75	1	4	1.4543944935932
5	4	1	4	1.58556761570452
5	4.25	1	4	1.71606723893122
5	4.5	1	4	1.84907972046652
5	4.75	1	4	1.98779141763024
5	5	1	4	2.13538868701424
5	5.25	1	4	2.29356737775129
5	5.5	1	4	2.45806130352737
5	5.75	1	4	2.62311376864923
5	6	1	4	2.78296808142214
5	6.25	1	4	2.93270738595556
5	6.5	1	4	3.07077420336349
5	6.75	1	4	3.19645089716851
5	7	1	4	3.30901982983822
5	7.25	1	4	3.40884306742904
5	7.5	1	4	3.50060148807532
5	7.75	1	4	3.59005567535711
5	8	1	4	3.68181409541258
5	8.25	1	4	3.77587674950776
5	8.5	1	4	3.8710915207072
5	0	1	6	0
5	0.25	1	6	1.90750820275466E-02
5	0.5	1	6	4.28843248249592E-02
5	0.75	1	6	7.61618891735827E-02
5	1	1	6	0.123641935885373
5	1.25	1	6	0.189032225249161
5	1.5	1	6	0.271934926333272
5	1.75	1	6	0.370925807625509
5	2	1	6	0.484271985365556
5	2.25	1	6	0.609005969041635
5	2.5	1	6	0.741851615251018
5	2.75	1	6	0.879685781057901
5	3	1	6	1.01999732738136
5	3.25	1	6	1.16042811461254
5	3.5	1	6	1.29862000335685
5	3.75	1	6	1.43300644112829
5	4	1	6	1.56518721457561
5	4.25	1	6	1.6975536968429
5	4.5	1	6	1.83249726131912
5	4.75	1	6	1.97240928157691
5	5	1	6	2.11968113013282
5	5.25	1	6	2.27557697829542
5	5.5	1	6	2.43685218470714
5	5.75	1	6	2.59913490401684
5	6	1	6	2.75805329667414
5	6.25	1	6	2.90961215906574
5	6.5	1	6	3.05132287513746
5	6.75	1	6	3.18107347435343
5	7	1	6	3.29675198464723
5	7.25	1	6	3.39772232314863
5	7.5	1	6	3.48925195787614
5	7.75	1	6	3.57808424873822
5	8	1	6	3.66961388260862
5	8.25	1	6	3.76384086132401
5	8.5	1	6	3.85941651258433
5	0	1	8	0
5	0.25	1	8	1.89885293442583E-02
5	0.5	1	8	4.26465686910224E-02
5	0.75	1	8	7.56436280573758E-02
5	1	1	8	0.122649217499277
5	1.25	1	8	0.187352675206939
5	1.5	1	8	0.269522658424873
5	1.75	1	8	0.367947652458956
5	2	1	8	0.480944206954501
5	2.25	1	8	0.604941132927724
5	2.5	1	8	0.735895304917912
5	2.75	1	8	0.870225192230917
5	3	1	8	1.00619564573186
5	3.25	1	8	1.142533109789
5	3.5	1	8	1.27796402904272
5	3.75	1	8	1.41169596789205
5	4	1	8	1.54486095958325
5	4.25	1	8	1.67907215659645
5	4.5	1	8	1.81594271172275
5	4.75	1	8	1.9570857779865
5	5	1	8	2.10411450707088
5	5.25	1	8	2.25786485925967
5	5.5	1	8	2.41606401943566
5	5.75	1	8	2.57566197754463
5	6	1	8	2.73360873089908
5	6.25	1	8	2.88679325478054
5	6.5	1	8	3.03186048872146
5	6.75	1	8	3.165394362391
5	7	1	8	3.28397880351459
5	7.25	1	8	3.38604246870206
5	7.5	1	8	3.47739292080052
5	7.75	1	8	3.56568245496241
5	8	1	8	3.65703290597238
5	8.25	1	8	3.75144427616291
5	8.5	1	8	3.84738610609922
5	0	1	10	0
5	0.25	1	10	1.88994459804247E-02
5	0.5	1	10	4.24039447298152E-02
5	0.75	1	10	7.51185490341904E-02
5	1	1	10	0.121648311725044
5	1.25	1	10	0.185663687386217
5	1.5	1	10	0.267096739978472
5	1.75	1	10	0.364944935129657
5	2	1	10	0.477573694627498
5	2.25	1	10	0.600820270569808
5	2.5	1	10	0.729889870259314
5	2.75	1	10	0.860752067076978
5	3	1	10	0.992433901647394
5	3.25	1	10	1.12472677919546
5	3.5	1	10	1.25742210526441
5	3.75	1	10	1.39048893362737
5	4	1	10	1.52460689943964
5	4.25	1	10	1.66063328547251
5	4.5	1	10	1.79942537486109
5	4.75	1	10	1.9418404510133
5	5	1	10	2.08873579576823
5	5.25	1	10	2.2405237807841
5	5.5	1	10	2.3958371255625
5	5.75	1	10	2.55286363528599
5	6	1	10	2.7097911237546
5	6.25	1	10	2.86434278063485
5	6.5	1	10	3.01238335805217
5	6.75	1	10	3.14931299823209
5	7	1	10	3.27053184112643
5	7.25	1	10	3.37361713403392
5	7.5	1	10	3.46485454122297
5	7.75	1	10	3.55270683831068
5	8	1	10	3.64394424422643
5	8.25	1	10	3.7385667616987
5	8.5	1	10	3.83488183513114
5	0	1	12	0
5	0.25	1	12	1.88071992659095E-02
5	0.5	1	12	4.21552359845201E-02
5	0.75	1	12	7.45849476272818E-02
5	1	1	12	0.12063717171564
5	1.25	1	12	0.183962902342371
5	1.5	1	12	0.264653758359571
5	1.75	1	12	0.361911515096925
5	2	1	12	0.474149764905559
5	2.25	1	12	0.596629375406888
5	2.5	1	12	0.72382303019385
5	2.75	1	12	0.851263271514345
5	3	1	12	0.978722079519225
