waveHeight	wavePeriod	value
6.5	10.5	5.16550309224227E-03
7	10.5	7.57670064668325E-03
7.5	10.5	1.11134175441043E-02
8	10.5	1.63010332952342E-02
8.5	10.5	2.39101685361673E-02
9	10.5	0.035071160770837
9.5	10.5	0.051441976076136
10	10.5	7.54545000637169E-02
10.5	10.5	0.110675794635864
11	10.5	0.162337985248544
11.5	10.5	0.238115493466868
12	10.5	0.349265072756461
12.5	10.5	0.512297999897052
13	10.5	0.751432826154716
13.5	10.5	1.18117268537003
14	10.5	1.74091292214111
14.5	10.5	2.43518817082558
15	10.5	3.26320469627287
15.5	10.5	4.21984543048994
16	10.5	5.29677544999872
16.5	10.5	6.48348043346374
17	10.5	7.76815452405188
0.5	11	0
1	11	0
1.5	11	0
2	11	0
2.5	11	0
3	11	0
3.5	11	0
4	11	0
4.5	11	0
5	11	0
5.5	11	1.25866769852941E-03
6	11	1.9081929192796E-03
6.5	11	2.89290034330989E-03
7	11	4.38575801836743E-03
7.5	11	6.64899274534525E-03
8	11	1.00801513313109E-02
8.5	11	1.52819313772393E-02
9	11	2.31680476753598E-02
9.5	11	3.51237300991407E-02
10	11	5.32490451230102E-02
10.5	11	8.07277814317832E-02
11	11	0.122386695946245
11.5	11	0.185543354208191
12	11	0.281291491895057
12.5	11	0.426449676681839
13	11	0.646515561195475
13.5	11	0.980144654159848
14	11	1.47309494341063
14.5	11	2.09436811356938
15	11	2.8450905547844
15.5	11	3.72186163716601
16	11	4.71779499788342
16.5	11	5.82355264936645
17	11	7.0282601996662
0.5	11.5	0
1	11.5	0
1.5	11.5	0
2	11.5	0
2.5	11.5	0
3	11.5	0
3.5	11.5	0
4	11.5	0
4.5	11.5	0
5	11.5	0
5.5	11.5	0
6	11.5	3.75563762907465E-03
6.5	11.5	5.37065392886899E-03
7	11.5	7.68016685113009E-03
7.5	11.5	1.09828269783191E-02
8	11.5	1.57057119687372E-02
8.5	11.5	2.24595533492315E-02
9	11.5	3.21177121833804E-02
9.5	11.5	4.59291162141371E-02
10	11.5	6.56797627479605E-02
10.5	11.5	9.39236717405108E-02
11	11.5	0.134313154374072
11.5	11.5	0.192071105224183
12	11.5	0.27466639164243
12.5	11.5	0.392779677139977
13	11.5	0.561684572515977
13.5	11.5	0.803222715848465
14	11.5	1.23342672639384
14.5	11.5	1.78548527387171
15	11.5	2.46257128488662
15.5	11.5	3.26314915280296
16	11.5	4.18190783019707
16.5	11.5	5.21076656674881
17	11.5	6.33981042916046
0.5	12	0
1	12	0
1.5	12	0
2	12	0
2.5	12	0
3	12	0
3.5	12	0
4	12	0
4.5	12	0
5	12	0
5.5	12	0
6	12	2.05814431980086E-03
6.5	12	3.01749258154521E-03
7	12	4.42401506642711E-03
7.5	12	6.48614993378099E-03
8	12	9.50949314859894E-03
8.5	12	1.39420859626252E-02
9	12	2.04408119288533E-02
9.5	12	2.99687430869978E-02
10	12	4.39378614382105E-02
10.5	12	6.44183061718383E-02
11	12	9.44451558227161E-02
11.5	12	0.138468208626644
12	12	0.203011415813241
12.5	12	0.297639691877738
