Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-2.05079350008439E-02
5	1	0	-1.08983587951452E-02
5	2	0	-1.17342707226266E-02
5	3	0	-0.011033886216433
5	4	0	-6.54816664891682E-03
5	5	0	-3.45658563062509E-03
5	6	0	-1.86458052270582E-03
5	7	0	2.08749248556867E-02
5	8	0	5.01834010777781E-02
5	9	0	7.92289772927259E-02
5	10	0	0.10968982606063
5	11	0	0.141189886616644
5	12	0	0.167033984981842
5	13	0	0.187693695739332
5	14	0	0.203824933402357
5	15	0	0.231188486828103
5	16	0	0.285465874522332
5	17	0	0.371418111522693
5	18	0	0.478962604641275
5	19	0	0.586760740766029
5	20	0	0.689816553055027
5	21	0	0.801514617434315
5	22	0	0.921892768077114
5	23	0	1.05359763536778
5	24	0	1.17042115858196
5	25	0	1.25098165631466
5	26	0	1.31472379518177
5	27	0	1.39579479972118
5	28	0	1.50474784208958
5	29	0	1.61340060133259
5	30	0	1.70077105916972
5	31	0	1.78808469627717
5	0	2	-2.04042550898372E-02
5	1	2	-1.09094714173083E-02
5	2	2	-1.11552089741135E-02
5	3	2	-9.84966893363275E-03
5	4	2	-5.50694192711027E-03
5	5	2	-2.32470788757741E-03
5	6	2	-2.73032575813646E-04
5	7	2	0.021441517564329
5	8	2	0.049434412308577
5	9	2	7.78951707985205E-02
5	10	2	0.107710561169308
5	11	2	0.138196641561375
5	12	2	0.163919787892237
5	13	2	0.184785742247676
5	14	2	0.201524317595777
5	15	2	0.228638503803077
5	16	2	0.280389245866031
5	17	2	0.362045765422969
5	18	2	0.464999179230779
5	19	2	0.570995476429916
5	20	2	0.676179363501512
5	21	2	0.789902733586911
5	22	2	0.912284457577274
5	23	2	1.04438078212331
5	24	2	1.16141937800494
5	25	2	1.24382721918415
5	26	2	1.30975402620787
5	27	2	1.39214372154264
5	28	2	1.50098115826491
5	29	2	1.60963721619957
5	30	2	1.69826541506757
5	31	2	1.78676512694581
5	0	4	-2.03005751788305E-02
5	1	4	-1.09228582190766E-02
5	2	4	-1.05801391420407E-02
5	3	4	-8.69727392149711E-03
5	4	4	-4.47141984409942E-03
5	5	4	-1.19249822282794E-03
5	6	4	1.32252785230387E-03
5	7	4	2.20469791406382E-02
5	8	4	4.87312372124848E-02
5	9	4	7.66386038366704E-02
5	10	4	0.105855985721586
5	11	4	0.135305294131547
5	12	4	0.160908479772672
5	13	4	0.181954029022507
5	14	4	0.199274540279906
5	15	4	0.226154533413682
5	16	4	0.275407439319987
5	17	4	0.352893411352909
5	18	4	0.451215020839195
5	19	4	0.555459804090056
5	20	4	0.66282094851304
5	21	4	0.778448275393236
5	22	4	0.902786874105767
5	23	4	1.03525044151654
5	24	4	1.15246017108318
5	25	4	1.23666828280642
5	26	4	1.30471398727754
5	27	4	1.38834624865982
5	28	4	1.49700778972015
5	29	4	1.60559681853925
5	30	4	1.6954526579727
5	31	4	1.78512278223018
5	0	6	-2.01968952678238E-02
5	1	6	-1.09385288799609E-02
5	2	6	-1.00087502779767E-02
5	3	6	-7.57992095759216E-03
5	4	6	-3.4408387751924E-03
5	5	6	-5.95419929712796E-05
5	6	6	2.92116564225102E-03
5	7	6	2.26806528826865E-02
5	8	6	0.048064471359842
5	9	6	7.54504918238939E-02
5	10	6	0.104128147534225
5	11	6	0.132525594356922
5	12	6	0.158008060714698
5	13	6	0.179207247447482
5	14	6	0.197084365808235
5	15	6	0.223747324544029
5	16	6	0.2705303145228
5	17	6	0.343989462892114
5	18	6	0.437629150163985
5	19	6	0.540178841545131
5	20	6	0.649775495812252
5	21	6	0.767183517623399
5	22	6	0.893427186107385
5	23	6	1.02623008159804
5	24	6	1.14356249503683
5	25	6	1.22952338108843
5	26	6	1.29961781546459
5	27	6	1.38440887804232
5	28	6	1.49283576339163
5	29	6	1.60128700935785
5	30	6	1.69234038136678
5	31	6	1.78317441657354
5	0	8	-2.00932153568172E-02
5	1	8	-0.010956493148282
5	2	8	-9.44051985165771E-03
5	3	8	-6.49978746667326E-03
5	4	8	-2.41429823187589E-03
5	5	8	0.001074482464347
5	6	8	4.5217819764063E-03
5	7	8	2.33294550889046E-02
5	8	8	4.74194263890502E-02
5	9	8	0.074311822514204
5	10	8	0.10251757634933
5	11	8	0.129860790043845
5	12	8	0.155221140220326
5	13	8	0.17654950510176
5	14	8	0.194962072701437
5	15	8	0.221427374264095
5	16	8	0.265767777563314
5	17	8	0.335352912256356
5	18	8	0.424257237623453
5	19	8	0.525172967099873
5	20	8	0.637075241372866
5	21	8	0.756147722329385
5	22	8	0.884241470332585
5	23	8	1.01735114863681
5	24	8	1.13475377706697
5	25	8	1.22241705687364
5	26	8	1.29448822174585
5	27	8	1.38034850407761
5	28	8	1.48848755086551
5	29	8	1.59673514104316
5	30	8	1.68895646150855
5	31	8	1.78096095019922
5	0	10	-1.99895354458105E-02
5	1	10	-0.01097675538188
5	2	10	-8.87479228598658E-03
5	3	10	-5.45758955749237E-03
5	4	10	-1.39105085656486E-03
5	5	10	2.20962797328894E-03
5	6	10	6.12321697537914E-03
5	7	10	2.39866963664632E-02
5	8	10	4.67780517111185E-02
5	9	10	7.31921059018421E-02
5	10	10	0.100998523496089
5	11	10	0.127303133900281
5	12	10	0.152542123674475
5	13	10	0.173977681863701
5	14	10	0.192914888681754
5	15	10	0.219202520224704
5	16	10	0.26112901822888
5	17	10	0.326985287295171
5	18	10	0.411110395075244
5	19	10	0.510455568283418
5	20	10	0.624750819239398
5	21	10	0.745377436416373
5	22	10	0.875268784879871
5	23	10	1.00864709642992
5	24	10	1.12606443383179
5	25	10	1.21537944474713
5	26	10	1.28935536581767
5	27	10	1.37619121890417
5	28	10	1.4839980959296
5	29	10	1.59198735734056
5	30	10	1.68534604085284
5	31	10	1.77854222363447
5	0	12	-1.98858555348038E-02
5	1	12	-1.09992974661439E-02
5	2	12	-8.31075597977575E-03
5	3	12	-4.45163689077146E-03
5	4	12	-3.70809430417251E-04
5	5	12	3.34562307935335E-03
5	6	12	7.72464200891703E-03
