absoluteWindSpeed_knots	windDirectionDiff	significantWaveHeight_m	relativeWaveDirection	fuelFactorMain
1	60	0.5	150	1
1	60	0.5	160	1
1	60	0.5	170	1
1	0	1	0	1
1	0	1	10	1
1	0	1	20	1
1	0	1	30	1
1	0	1	40	1
1	0	1	50	1
1	0	1	60	1
1	0	1	70	1
1	0	1	80	1
1	0	1	90	1
1	0	1	100	1
1	0	1	110	1
1	0	1	120	1
1	0	1	130	1
1	0	1	140	1
1	0	1	150	1
1	0	1	160	1
1	0	1	170	1
1	10	1	0	1
1	10	1	10	1
1	10	1	20	1
1	10	1	30	1
1	10	1	40	1
1	10	1	50	1
1	10	1	60	1
1	10	1	70	1
1	10	1	80	1
1	10	1	90	1
1	10	1	100	1
1	10	1	110	1
1	10	1	120	1
1	10	1	130	1
1	10	1	140	1
1	10	1	150	1
1	10	1	160	1
1	10	1	170	1
1	20	1	0	1
1	20	1	10	1
1	20	1	20	1
1	20	1	30	1
1	20	1	40	1
1	20	1	50	1
1	20	1	60	1
1	20	1	70	1
1	20	1	80	1
1	20	1	90	1
1	20	1	100	1
1	20	1	110	1
1	20	1	120	1
1	20	1	130	1
1	20	1	140	1
1	20	1	150	1
1	20	1	160	1
1	20	1	170	1
1	30	1	0	1
1	30	1	10	1
1	30	1	20	1
1	30	1	30	1
1	30	1	40	1
1	30	1	50	1
1	30	1	60	1
1	30	1	70	1
1	30	1	80	1
1	30	1	90	1
1	30	1	100	1
1	30	1	110	1
1	30	1	120	1
1	30	1	130	1
1	30	1	140	1
1	30	1	150	1
1	30	1	160	1
1	30	1	170	1
1	40	1	0	1
1	40	1	10	1
1	40	1	20	1
1	40	1	30	1
1	40	1	40	1
1	40	1	50	1
1	40	1	60	1
1	40	1	70	1
1	40	1	80	1
1	40	1	90	1
1	40	1	100	1
1	40	1	110	1
1	40	1	120	1
1	40	1	130	1
1	40	1	140	1
1	40	1	150	1
1	40	1	160	1
1	40	1	170	1
1	50	1	0	1
1	50	1	10	1
1	50	1	20	1
1	50	1	30	1
1	50	1	40	1
1	50	1	50	1
1	50	1	60	1
1	50	1	70	1
1	50	1	80	1
1	50	1	90	1
1	50	1	100	1
1	50	1	110	1
1	50	1	120	1
1	50	1	130	1
1	50	1	140	1
1	50	1	150	1
1	50	1	160	1
1	50	1	170	1
1	60	1	0	1
1	60	1	10	1
1	60	1	20	1
1	60	1	30	1
1	60	1	40	1
1	60	1	50	1
1	60	1	60	1
1	60	1	70	1
1	60	1	80	1
1	60	1	90	1
1	60	1	100	1
1	60	1	110	1
1	60	1	120	1
1	60	1	130	1
1	60	1	140	1
1	60	1	150	1
1	60	1	160	1
1	60	1	170	1
1	0	1.5	0	1
1	0	1.5	10	1
1	0	1.5	20	1
1	0	1.5	30	1
1	0	1.5	40	1
1	0	1.5	50	1
1	0	1.5	60	1
1	0	1.5	70	1
1	0	1.5	80	1
1	0	1.5	90	1
1	0	1.5	100	1
1	0	1.5	110	1
1	0	1.5	120	1
1	0	1.5	130	1
1	0	1.5	140	1
1	0	1.5	150	1
1	0	1.5	160	1
1	0	1.5	170	1
1	10	1.5	0	1
1	10	1.5	10	1
1	10	1.5	20	1
1	10	1.5	30	1
1	10	1.5	40	1
1	10	1.5	50	1
1	10	1.5	60	1
1	10	1.5	70	1
1	10	1.5	80	1
1	10	1.5	90	1
1	10	1.5	100	1
1	10	1.5	110	1
1	10	1.5	120	1
1	10	1.5	130	1
1	10	1.5	140	1
1	10	1.5	150	1
1	10	1.5	160	1
1	10	1.5	170	1
1	20	1.5	0	1
1	20	1.5	10	1
1	20	1.5	20	1
1	20	1.5	30	1
1	20	1.5	40	1
1	20	1.5	50	1
1	20	1.5	60	1
1	20	1.5	70	1
1	20	1.5	80	1
1	20	1.5	90	1
1	20	1.5	100	1
1	20	1.5	110	1
1	20	1.5	120	1
1	20	1.5	130	1
1	20	1.5	140	1
1	20	1.5	150	1
1	20	1.5	160	1
1	20	1.5	170	1
1	30	1.5	0	1
1	30	1.5	10	1
1	30	1.5	20	1
1	30	1.5	30	1
1	30	1.5	40	1
1	30	1.5	50	1
1	30	1.5	60	1
1	30	1.5	70	1
1	30	1.5	80	1
1	30	1.5	90	1
1	30	1.5	100	1
1	30	1.5	110	1
1	30	1.5	120	1
1	30	1.5	130	1
1	30	1.5	140	1
1	30	1.5	150	1
1	30	1.5	160	1
1	30	1.5	170	1
1	40	1.5	0	1
1	40	1.5	10	1
1	40	1.5	20	1
1	40	1.5	30	1
1	40	1.5	40	1
1	40	1.5	50	1
1	40	1.5	60	1
1	40	1.5	70	1
1	40	1.5	80	1
1	40	1.5	90	1
1	40	1.5	100	1
1	40	1.5	110	1
1	40	1.5	120	1
1	40	1.5	130	1
1	40	1.5	140	1
1	40	1.5	150	1
1	40	1.5	160	1
1	40	1.5	170	1
1	50	1.5	0	1
1	50	1.5	10	1
1	50	1.5	20	1
1	50	1.5	30	1
1	50	1.5	40	1
1	50	1.5	50	1
1	50	1.5	60	1
1	50	1.5	70	1
1	50	1.5	80	1
1	50	1.5	90	1
1	50	1.5	100	1
1	50	1.5	110	1
1	50	1.5	120	1
1	50	1.5	130	1
1	50	1.5	140	1
1	50	1.5	150	1
1	50	1.5	160	1
1	50	1.5	170	1
1	60	1.5	0	1
1	60	1.5	10	1
1	60	1.5	20	1
1	60	1.5	30	1
1	60	1.5	40	1
1	60	1.5	50	1
1	60	1.5	60	1
1	60	1.5	70	1
1	60	1.5	80	1
1	60	1.5	90	1
1	60	1.5	100	1
1	60	1.5	110	1
1	60	1.5	120	1
1	60	1.5	130	1
1	60	1.5	140	1
1	60	1.5	150	1
1	60	1.5	160	1
1	60	1.5	170	1
1	0	2	0	1.00492857142857
1	0	2	10	1.00492857142857
1	0	2	20	1.00492857142857
1	0	2	30	1.00492857142857
1	0	2	40	1.00492857142857
1	0	2	50	1.00468214285714
1	0	2	60	1.00443571428571
1	0	2	70	1.00418928571429
1	0	2	80	1.00394285714286
1	0	2	90	1.00369642857143
1	0	2	100	1.00345
1	0	2	110	1.00320357142857
1	0	2	120	1.00295714285714
1	0	2	130	1.00271071428571
1	0	2	140	1.00246428571429
1	0	2	150	1.00221785714286
1	0	2	160	1.00197142857143
1	0	2	170	1.001725
1	10	2	0	1.00492857142857
1	10	2	10	1.00492857142857
1	10	2	20	1.00492857142857
1	10	2	30	1.00492857142857
1	10	2	40	1.00492857142857
1	10	2	50	1.00468214285714
1	10	2	60	1.00443571428571
1	10	2	70	1.00418928571429
1	10	2	80	1.00394285714286
1	10	2	90	1.00369642857143
1	10	2	100	1.00345
1	10	2	110	1.00320357142857
1	10	2	120	1.00295714285714
1	10	2	130	1.00271071428571
1	10	2	140	1.00246428571429
1	10	2	150	1.00221785714286
1	10	2	160	1.00197142857143
1	10	2	170	1.001725
1	20	2	0	1.00492857142857
1	20	2	10	1.00492857142857
1	20	2	20	1.00492857142857
1	20	2	30	1.00492857142857
1	20	2	40	1.00492857142857
1	20	2	50	1.00468214285714
1	20	2	60	1.00443571428571
1	20	2	70	1.00418928571429
1	20	2	80	1.00394285714286
1	20	2	90	1.00369642857143
1	20	2	100	1.00345
1	20	2	110	1.00320357142857
1	20	2	120	1.00295714285714
1	20	2	130	1.00271071428571
1	20	2	140	1.00246428571429
1	20	2	150	1.00221785714286
1	20	2	160	1.00197142857143
1	20	2	170	1.001725
1	30	2	0	1.00492857142857
1	30	2	10	1.00492857142857
