Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-8.1384889259002E-03
5	1	0	1.72933908820162E-04
5	2	0	-3.86684571025431E-03
5	3	0	-5.75226405065579E-03
5	4	0	-3.1040566752249E-03
5	5	0	-2.15762224604312E-03
5	6	0	-1.7726926343925E-03
5	7	0	2.43125778715772E-02
5	8	0	5.88970773820303E-02
5	9	0	9.47901456931288E-02
5	10	0	0.132054102362933
5	11	0	0.169928529901295
5	12	0	0.201200560610523
5	13	0	0.2257999556786
5	14	0	0.245385077843822
5	15	0	0.277729123949414
5	16	0	0.341546425785173
5	17	0	0.440447786579815
5	18	0	0.558031759586492
5	19	0	0.663721078675111
5	20	0	0.753223561531988
5	21	0	0.850337827944504
5	22	0	0.968478940247879
5	23	0	1.11642452800869
5	24	0	1.25322609328756
5	25	0	1.34413187562391
5	26	0	1.40995057473541
5	27	0	1.4964679002586
5	28	0	1.61785245604741
5	29	0	1.73930336204513
5	30	0	1.83523383316813
5	31	0	1.93078606507654
5	0	2	-8.02326627619055E-03
5	1	2	2.14525943413089E-04
5	2	2	-3.10757211018022E-03
5	3	2	-0.004341928202316
5	4	2	-1.83593228264484E-03
5	5	2	-7.08515470164817E-04
5	6	2	4.62856166826988E-04
5	7	2	2.56761398961064E-02
5	8	2	5.84720104474317E-02
5	9	2	9.33052712833528E-02
5	10	2	0.12970438201029
5	11	2	0.166451584149503
5	12	2	0.197551992678918
5	13	2	0.222360233245565
5	14	2	0.24257262294576
5	15	2	0.274816042246397
5	16	2	0.336187245627472
5	17	2	0.430970923293059
5	18	2	0.544070809544179
5	19	2	0.648438324046823
5	20	2	0.740650106633502
5	21	2	0.840177562804737
5	22	2	0.959695911944032
5	23	2	1.10619408395481
5	24	2	1.24122369651376
5	25	2	1.33288433847822
5	26	2	1.40102545610981
5	27	2	1.48965496738146
5	28	2	1.61202086677025
5	29	2	1.73439917515235
5	30	2	1.83189696238252
5	31	2	1.92904715862143
5	0	4	-7.90804362648091E-03
5	1	4	2.53565585780233E-04
5	2	4	-2.35167057497816E-03
5	3	4	-2.95716914930824E-03
5	4	4	-5.75151210318585E-04
5	5	4	7.41198712798554E-04
5	6	4	2.70054671114733E-03
5	7	4	0.027086445072561
5	8	4	5.81380331572349E-02
5	9	4	9.19338307887829E-02
5	10	4	0.127488348108633
5	11	4	0.163065178802089
5	12	4	0.193982484970342
5	13	4	0.218960289013434
5	14	4	0.239770152803659
5	15	4	0.271940171313788
5	16	4	0.330906472498979
5	17	4	0.421721359960435
5	18	4	0.530279352480273
5	19	4	0.633356053468628
5	20	4	0.728295621676185
5	21	4	0.83013041515117
5	22	4	0.951028274660031
5	23	4	1.0961331788684
5	24	4	1.22939327509199
5	25	4	1.32173494341069
5	26	4	1.39209738732407
5	27	4	1.48275611913207
5	28	4	1.60609341013416
5	29	4	1.72937316502397
5	30	4	1.82840869495095
5	31	4	1.92715307720496
5	0	6	-7.79282097677127E-03
5	1	6	0.000290032313989
5	2	6	-1.59890333311902E-03
5	3	6	-1.60058961595001E-03
5	4	6	6.78867074081822E-04
5	5	6	2.19177026058342E-03
5	6	6	4.93919350965978E-03
5	7	6	2.85282367105252E-02
5	8	6	5.78848437856006E-02
5	9	6	9.06729129409929E-02
5	10	6	0.125415903691452
5	11	6	0.159786117615851
5	12	6	0.19050582861494
5	13	6	0.215613825819259
5	14	6	0.236992817805144
5	15	6	0.2691199922355
5	16	6	0.325721814322252
5	17	6	0.41273430379647
5	18	6	0.516676942986853
5	19	6	0.618497501365878
5	20	6	0.716191935401251
5	21	6	0.820228684837762
5	22	6	0.942505689687131
5	23	6	1.08626515351046
5	24	6	1.21774869665138
5	25	6	1.31069966163965
5	26	6	1.38318185918214
5	27	6	1.4757785774383
5	28	6	1.60007772513462
5	29	6	1.72423056421022
5	30	6	1.82477462716067
5	31	6	1.92511987851367
5	0	8	-7.67759832706162E-03
5	1	8	3.23905105603881E-04
5	2	8	-8.48856214613011E-04
5	3	8	-2.73944142046347E-04
5	4	8	1.92683656891588E-03
5	5	8	3.6433229524964E-03
5	6	8	7.17742267075204E-03
5	7	8	2.99841875008252E-02
5	8	8	5.76923443097013E-02
5	9	8	8.95058506111323E-02
5	10	8	0.123484731438922
5	11	8	0.15662623696461
5	12	8	0.187132604337611
5	13	8	0.212332988903359
5	14	8	0.234259226064701
5	15	8	0.266377249805202
5	16	8	0.320654067451264
5	17	8	0.404036867268344
