Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-8.0448598699621E-03
5	1	0	1.29957847837876E-03
5	2	0	-3.56658038768495E-03
5	3	0	-5.75847851543141E-03
5	4	0	-3.1412971218832E-03
5	5	0	-2.6634502704568E-03
5	6	0	-2.4872381987032E-03
5	7	0	3.06981706174835E-02
5	8	0	7.16317387032507E-02
5	9	0	0.113647234999227
5	10	0	0.156733016049108
5	11	0	0.200805478589726
5	12	0	0.239580759403892
5	13	0	0.277527163814638
5	14	0	0.310894084079971
5	15	0	0.351804290217798
5	16	0	0.411051578648641
5	17	0	0.491642828930378
5	18	0	0.586323573289483
5	19	0	0.678989738398987
5	20	0	0.769217455957089
5	21	0	0.875904507376878
5	22	0	1.0041278564787
5	23	0	1.15899564808427
5	24	0	1.3063039802835
5	25	0	1.41843605857253
5	26	0	1.5022650669613
5	27	0	1.589279155308
5	28	0	1.69128809045871
5	29	0	1.79564979130075
5	30	0	1.89186609224733
5	31	0	1.98786704365448
5	0	2	-7.90460871425327E-03
5	1	2	1.37310730435246E-03
5	2	2	-2.62344024395609E-03
5	3	2	-4.08384030913222E-03
5	4	2	-1.58615162740071E-03
5	5	2	-7.53897475719781E-04
5	6	2	5.67874487517844E-04
5	7	2	3.27680123095911E-02
5	8	2	7.19462496400936E-02
5	9	2	0.112735402230416
5	10	2	0.154619605721828
5	11	2	0.197207774027707
5	12	2	0.235669169987463
5	13	2	0.273213663647329
5	14	2	0.306665788995484
5	15	2	0.34696887301718
5	16	2	0.403654662327547
5	17	2	0.480394909464867
5	18	2	0.571678346386855
5	19	2	0.66432787814501
5	20	2	0.758638743063154
5	21	2	0.868230227280782
5	22	2	0.997323214048507
5	23	2	1.14894270946426
5	24	2	1.29214421955363
5	25	2	1.402772638955
5	26	2	1.4875324541705
5	27	2	1.57658355344707
5	28	2	1.68050313013928
5	29	2	1.78657502524116
5	30	2	1.88402846660498
5	31	2	1.98124321586213
5	0	4	-7.76435755854444E-03
5	1	4	1.44359153250623E-03
5	2	4	-1.68415349540333E-03
5	3	4	-2.43604027730289E-03
5	4	4	-3.7949337717851E-05
5	5	4	1.15778657260467E-03
5	6	4	3.62607008766211E-03
5	7	4	3.48828816320975E-02
5	8	4	7.23597972417338E-02
5	9	4	0.111993522722645
5	10	4	0.152739615746693
5	11	4	0.193817709886802
5	12	4	0.231981282633282
5	13	4	0.269100825935078
5	14	4	0.302599073878284
5	15	4	0.342293012534618
5	16	4	0.396417206141896
5	17	4	0.469400349426987
5	18	4	0.557223923714823
5	19	4	0.649887746838326
5	20	4	0.748336365990495
5	21	4	0.860726206231071
5	22	4	0.990708972152306
5	23	4	1.13914577619882
5	24	4	1.2782480009254
5	25	4	1.38726607869214
5	26	4	1.47282254030354
5	27	4	1.56381898104106
5	28	4	1.66965193390418
5	29	4	1.77740941644243
5	30	4	1.87606358874255
5	31	4	1.97447605796573
5	0	6	-7.62410640283562E-03
5	1	6	1.51100784327989E-03
5	2	6	-7.48437460718535E-04
5	3	6	-8.17879949097134E-04
5	4	6	1.50388053867663E-03
5	5	6	3.07169038201679E-03
5	6	6	6.68569989766058E-03
5	7	6	3.70251960715535E-02
5	8	6	7.28501079891966E-02
5	9	6	0.11140221042864
5	10	6	0.151090130958793
5	11	6	0.190646278754931
5	12	6	0.22852701191301
5	13	6	0.265200985830044
5	14	6	0.298703008219253
5	15	6	0.337785564183447
5	16	6	0.389343775749642
5	17	6	0.458684900945047
5	18	6	0.542979289858224
5	19	6	0.635696581220002
5	20	6	0.738350156891065
5	21	6	0.853425621109507
5	22	6	0.984311247333001
5	23	6	1.12962217768066
5	24	6	1.26462373483945
5	25	6	1.3719301926893
5	26	6	1.4581507358818
5	27	6	1.55099196265231
5	28	6	1.65874123978149
5	29	6	1.76815602868537
5	30	6	1.86797463243993
5	31	6	1.96757867004248
5	0	8	-7.48385524712679E-03
5	1	8	1.5753323757135E-03
5	2	8	1.84196529696167E-04
5	3	8	7.68751248134593E-04
5	4	8	3.04002833924319E-03
5	5	8	4.98773157679669E-03
5	6	8	9.74485263927807E-03
5	7	8	0.039176339662183
5	8	8	7.33866616741582E-02
5	9	8	0.110924199621608
5	10	8	0.149648055381334
5	11	8	0.187691069489911
5	12	8	0.225303865068617
5	13	8	0.261514174564297
5	14	8	0.294980068884604
5	15	8	0.33345023599166
5	16	8	0.382435297243631
5	17	8	0.448261432153908
5	18	8	0.528959436382079
5	19	8	0.621778107366665
5	20	8	0.728719024475834
5	21	8	0.846367018734479
5	22	8	0.978159260413572
5	23	8	1.12038760156001
5	24	8	1.25127680521432
5	25	8	1.35677213485677
5	26	8	1.44353440371165
5	27	8	1.53811329467497
5	28	8	1.64778237292043
5	29	8	1.75882590171774
5	30	8	1.85977383524432
5	31	8	1.96057737709143
5	0	10	-7.34360409141797E-03
5	1	10	1.63654766177759E-03
5	2	10	1.11436894177283E-03
5	3	10	2.3233150846514E-03
5	4	10	4.57103181198402E-03
5	5	10	6.90559112563138E-03
5	6	10	0.012801592262166
5	7	10	4.13286727170247E-02
5	8	10	7.39372753472002E-02
5	9	10	0.110505483032717
5	10	10	0.148365721360717
5	11	10	0.184930984200556
