Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.51465493037849E-02
5	0.5	1	0	0.034559084434883
5	0.75	1	0	6.25035912206076E-02
5	1	1	0	0.103246055488272
5	1.25	1	0	0.159749393724247
5	1.5	1	0	0.22976424185469
5	1.75	1	0	0.309738166464816
5	2	1	0	0.397807113522644
5	2.25	1	0	0.498860552669529
5	2.5	1	0	0.619476332929632
5	2.75	1	0	0.763476720945155
5	3	1	0	0.923661639055223
5	3.25	1	0	1.090075427217
5	3.5	1	0	1.25276242538766
5	3.75	1	0	1.40405481572531
5	4	1	0	1.54543615977498
5	4.25	1	0	1.68067786128266
5	4.5	1	0	1.81355132399434
5	4.75	1	0	1.94782795165598
5	5	1	0	2.08727914801358
5	5.25	1	0	2.23397467529644
5	5.5	1	0	2.38317773615812
5	5.75	1	0	2.52844989173549
5	6	1	0	2.66335270316544
5	6.25	1	0	2.78306031203912
5	6.5	1	0	2.88919717149924
5	6.75	1	0	2.98500031514277
5	7	1	0	3.07370677656667
5	7.25	1	0	3.15828211411398
5	7.5	1	0	3.24060598996475
5	7.75	1	0	3.32228659104507
5	8	1	0	3.40461046689584
5	8.25	1	0	3.48757761751704
5	8.5	1	0	3.57086640552347
5	0	1	2	0
5	0.25	1	2	1.50569660520915E-02
5	0.5	1	2	3.42980612229369E-02
5	0.75	1	2	6.19074146330016E-02
5	1	1	2	0.10206915540104
5	1.25	1	2	0.157726578870229
5	1.5	1	2	0.226859641554661
5	1.75	1	2	0.30620746620312
5	2	1	2	0.393971552307688
5	2.25	1	2	0.494202911614158
5	2.5	1	2	0.61241493240624
5	2.75	1	2	0.751778739204817
5	3	1	2	0.906096388852071
5	3.25	1	2	1.06682767368114
5	3.5	1	2	1.22543238710684
5	3.75	1	2	1.37529561187009
5	4	1	2	1.51750359796495
5	4.25	1	2	1.65506788582749
5	4.5	1	2	1.79100001529132
5	4.75	1	2	1.92831152688837
5	5	1	2	2.07001396061656
5	5.25	1	2	2.21767746985272
5	5.5	1	2	2.36710666114845
5	5.75	1	2	2.51266475439999
5	6	1	2	2.64871497024298
5	6.25	1	2	2.77096409333808
5	6.5	1	2	2.88049316572205
5	6.75	1	2	2.97972679528457
5	7	1	2	3.07108959017548
5	7.25	1	2	3.15698026496175
5	7.5	1	2	3.23969397462841
5	7.75	1	2	3.3214999797561
5	8	1	2	3.4042136891489
5	8.25	1	2	3.48783510308068
5	8.5	1	2	3.57191037032253
5	0	1	4	0
5	0.25	1	4	1.49673711711714E-02
5	0.5	1	4	3.40372980652806E-02
5	0.75	1	4	6.13123364086225E-02
5	1	1	4	0.100895041924136
5	1.25	1	4	0.155709097150047
5	1.5	1	4	0.223962687637336
5	1.75	1	4	0.302685125772407
5	2	1	4	0.390143190029045
5	2.25	1	4	0.48955352764556
5	2.5	1	4	0.605370251544814
5	2.75	1	4	0.740116502458421
5	3	1	4	0.888591521852304
5	3.25	1	4	1.04366357753755
5	3.5	1	4	1.19820093944676
5	3.75	1	4	1.34663640180478
5	4	1	4	1.48966086527113
5	4.25	1	4	1.62952975698624
5	4.5	1	4	1.76849850290889
5	4.75	1	4	1.9088225303675
5	5	1	4	2.05275726564312
5	5.25	1	4	2.20137555908894
5	5.5	1	4	2.35101995035827
5	5.75	1	4	2.49685040310944
5	6	1	4	2.63402688245089
5	6.25	1	4	2.75878554195075
5	6.5	1	4	2.87166730138975
5	6.75	1	4	2.97428927259335
5	7	1	4	3.06826856789728
5	7.25	1	4	3.15544066334325
5	7.5	1	4	3.23851451406619
5	7.75	1	4	3.32041743729573
5	8	1	4	3.40349128748156
5	8.25	1	4	3.4877360651608
5	8.5	1	4	3.57256630862771
5	0	1	6	0
5	0.25	1	6	1.48777530317979E-02
5	0.5	1	6	3.37770550162042E-02
5	0.75	1	6	6.07194549106972E-02
5	1	1	6	9.97265016678867E-02
5	1.25	1	6	0.15370228169754
5	1.5	1	6	0.221081026485419
5	1.75	1	6	0.29917950500366
5	2	1	6	0.386329225623029
5	2.25	1	6	0.484920657850509
5	2.5	1	6	0.59835901000732
5	2.75	1	6	0.728525755699908
