Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.61794125088166E-02
5	0.5	1	0	3.68692794225131E-02
5	0.75	1	0	6.65800551459693E-02
5	1	1	0	0.109822194084065
5	1.25	1	0	0.16975893670839
5	1.5	1	0	0.244164673811384
5	1.75	1	0	0.329466582252195
5	2	1	0	0.423718211745542
5	2.25	1	0	0.531478601731169
5	2.5	1	0	0.65893316450439
5	2.75	1	0	0.809391846343902
5	3	1	0	0.974662726445733
5	3.25	1	0	1.1436784179893
5	3.5	1	0	1.305371534154
5	3.75	1	0	1.45144528517328
5	4	1	0	1.58468526879102
5	4.25	1	0	1.71064767980517
5	4.5	1	0	1.83488871301362
5	4.75	1	0	1.96296456321432
5	5	1	0	2.10043142520517
5	5.25	1	0	2.25066782119137
5	5.5	1	0	2.40834158009099
5	5.75	1	0	2.56594285822935
5	6	1	0	2.71596181193178
5	6.25	1	0	2.85248328118804
5	6.5	1	0	2.97597084143348
5	6.75	1	0	3.08848275176786
5	7	1	0	3.19207727129095
5	7.25	1	0	3.2889459434263
5	7.5	1	0	3.3818134553966
5	7.75	1	0	3.47353777874831
5	8	1	0	3.56640529071861
5	8.25	1	0	3.66041599130749
5	8.5	1	0	3.75499828620567
5	0	1	2	0
5	0.25	1	2	1.61732931975296E-02
5	0.5	1	2	3.67971388153372E-02
5	0.75	1	2	6.63220892811173E-02
5	1	1	2	0.109198697077903
5	1.25	1	2	0.168586850927444
5	1.5	1	2	0.242483790418232
5	1.75	1	2	0.32759609123371
5	2	1	2	0.422034079615601
5	2.25	1	2	0.52952308386852
5	2.5	1	2	0.65519218246742
5	2.75	1	2	0.801687138848834
5	3	1	2	0.961720455289565
5	3.25	1	2	1.1255213183046
5	3.5	1	2	1.28331891507982
5	3.75	1	2	1.42778316261378
5	4	1	2	1.56134689571284
5	4.25	1	2	1.68888367981524
5	4.5	1	2	1.81526707975678
5	4.75	1	2	1.945370660889
5	5	1	2	2.08406798800661
5	5.25	1	2	2.2343041131326
5	5.5	1	2	2.39131003078475
5	5.75	1	2	2.54838822230977
5	6	1	2	2.69884116949706
5	6.25	1	2	2.83729435500935
5	6.5	1	2	2.96366527288092
5	6.75	1	2	3.07919441866063
5	7	1	2	3.1851222885226
5	7.25	1	2	3.28306323699532
5	7.5	1	2	3.37612706430235
5	7.75	1	2	3.46779742746987
5	8	1	2	3.56086125359026
5	8.25	1	2	3.65531854385015
5	8.5	1	2	3.75047256667272
5	0	1	4	0
5	0.25	1	4	1.61643936568306E-02
5	0.5	1	4	0.036719367480685
5	0.75	1	4	6.60555016531333E-02
5	1	1	4	0.108563376464285
5	1.25	1	4	0.16739901143018
5	1.5	1	4	0.240780188706494
5	1.75	1	4	0.325690129392854
5	2	1	4	0.42029559204545
5	2.25	1	4	0.527497486374453
5	2.5	1	4	0.651380258785707
5	2.75	1	4	0.793933270095198
5	3	1	4	0.94876553969129
5	3.25	1	4	1.10739099995366
5	3.5	1	4	1.26132358457787
5	3.75	1	4	1.40419097688141
5	4	1	4	1.53807585651359
5	4.25	1	4	1.66717465435248
5	4.5	1	4	1.79568380009452
5	4.75	1	4	1.92779972444768
5	5	1	4	2.06771885702785
5	5.25	1	4	2.21795590095458
5	5.5	1	4	2.37429864357175
5	5.75	1	4	2.53085314494363
5	6	1	4	2.68172546600282
5	6.25	1	4	2.82207627398128
5	6.5	1	4	2.95128467599385
5	6.75	1	4	3.06978438671246
5	7	1	4	3.1780091220354
