windSpeed	relativeAngle	shipSpeed	value
1	0	5	1.10420298653554E-06
1	0.832745573421944	5	1.00236785892018E-04
1	1.66196100935926	5	1.19976680687117E-04
1	2.48409829788568	5	1.19344736349327E-04
1	3.29557376974449	5	1.24241454154312E-04
1	4.09275049529302	5	1.32969333952071E-04
1	4.87192099979182	5	1.67655293709923E-04
1	5.62929047284066	5	2.54041636097569E-04
1	6.36096071645427	5	2.50095753029808E-04
1	7.06291516547347	5	3.26572857795006E-04
1	7.73100542955195	5	3.719982748478E-04
1	8.3609399522593	5	3.64058656135446E-04
1	8.94827556462708	5	4.30591233993584E-04
1	9.48841293228737	5	4.19842853642589E-04
1	9.97659716076109	5	4.46043734310443E-04
1	10.4079251336721	5	4.33429469981711E-04
1	10.7773615106102	5	5.09836529029708E-04
1	11.0797656947755	5	4.93937931288305E-04
1	11.3099324740202	5	4.77917409660285E-04
1	11.4626494048592	5	4.61896889943914E-04
1	11.5327742875568	5	5.4155696952744E-04
1	11.5153361829593	5	5.22546948466299E-04
1	11.4056632258823	5	4.15049039880037E-04
1	11.1995398379713	5	4.00233915729844E-04
1	10.8933946491309	5	3.86010011518307E-04
1	10.484518307592	5	3.07228599483303E-04
1	9.97130723521349	5	2.96735383245575E-04
1	9.353525208112	5	2.62923314424788E-04
1	8.63256954578244	5	2.54736840239541E-04
1	7.8117230989222	5	2.0429072189334E-04
1	6.89636793222882	5	1.71227655773948E-04
1	5.89413277461933	5	1.25840415371151E-04
1	4.81494537494281	5	8.03106009799862E-05
1	3.67096422112091	5	6.19686118335866E-05
1	2.4763725059582	5	5.40571948705832E-05
1	1.24703058964111	5	4.47026804772976E-05
1	2.49999997620336E-03	5	4.90558239646293E-07
1	0	6	1.50307210686131E-06
1	0.713730554220195	6	1.36450639234155E-04
1	1.42412777149046	6	1.36069771368133E-04
1	2.12784647189636	6	1.62625333985684E-04
1	2.82151797828422	6	1.69447616369771E-04
1	3.50173885234177	6	1.81558642715401E-04
1	4.16506024900543	6	1.79725486851774E-04
1	4.80797815748515	6	2.26520962315093E-04
1	5.42692485248258	6	2.23438307886918E-04
1	6.01826195054938	6	3.37954056385798E-04
1	6.57827555511057	6	4.41540328205602E-04
1	7.10317408033154	6	4.33338876874024E-04
1	7.58908946897494	6	4.93277356354753E-04
1	8.03208266173777	6	4.82625051977347E-04
1	8.42815433241336	6	4.71529984428377E-04
1	8.77326206877758	6	5.57071928488669E-04
1	9.06334534329923	6	5.42875559598042E-04
1	9.29435976474647	6	5.28458912062992E-04
1	9.46232220802562	6	5.13931705330125E-04
1	9.56336845230783	6	5.45105828533994E-04
1	9.59382487312071	6	5.29369893395792E-04
1	9.55029547809555	6	5.13874398418345E-04
1	9.42976508483881	6	4.5692345976768E-04
1	9.22971864547086	6	4.43489291657348E-04
1	8.94827556462708	6	4.30591233993584E-04
1	8.58433629777866	6	4.18327448756419E-04
1	8.13773656191702	6	3.35962273189275E-04
1	7.60940222174397	6	3.2710816130699E-04
1	7.00149551348363	6	2.7459531188413E-04
1	6.31754103694823	6	2.01873208748787E-04
1	5.56251830239617	6	1.97693994242965E-04
1	4.74290705654641	6	1.26365910236142E-04
1	3.86667261831213	6	9.75515595598614E-05
1	2.94318138117319	6	8.91838302602538E-05
1	1.98304155751473	6	8.42802622829929E-05
1	0.997870823032071	6	6.98096970490279E-05
1	1.9999999829427E-03	6	7.66698430507211E-07
1	0	7	1.96330581139751E-06
1	0.624479351689207	7	1.78239130734411E-04
1	1.24583333225974	7	1.77794784817703E-04
1	1.86092921349558	7	2.12599592002918E-04
1	2.46661978471589	7	2.11370421367661E-04
1	3.05973670105437	7	2.20033209205743E-04
1	3.63708456775433	7	2.3559389526979E-04
1	4.19543605368662	7	2.33105282611967E-04
1	4.73152836861745	7	2.93731793531497E-04
1	5.24206149050915	7	2.89740551253631E-04
1	5.72369859097359	7	4.38360986215806E-04
1	6.17306917801438	7	4.31161651356631E-04
1	6.58677555362946	7	5.62868979845554E-04
1	6.96140326666509	7	5.52171039646532E-04
1	7.29353632370172	7	5.41028439403196E-04
1	7.57977799550728	7	6.15145533321996E-04
1	7.8167781134514	7	6.01466880063059E-04
1	8.00126777524218	7	5.87575981224037E-04
1	8.13010235415598	7	5.7357855499264E-04
1	8.20031360781743	7	5.59581130095414E-04
1	8.20917148470054	7	5.45690235736817E-04
1	8.15425589934527	7	5.32011589706301E-04
1	8.03353826155401	7	5.18649294649718E-04
1	7.84547187640955	7	5.0570504573097E-04
1	7.58908946897494	7	4.93277356354753E-04
1	7.2641050397395	7	4.14448296408752E-04
1	6.87101606633693	7	4.04879938655921E-04
1	6.41120081841657	7	2.97945268237896E-04
1	5.88700437962128	7	2.91814588908573E-04
1	5.30180605520618	7	1.86382767253179E-04
1	4.66006040208254	7	1.83208518850007E-04
1	3.96730437125137	7	1.41496752783931E-04
1	3.2301241823241	7	1.29321693093641E-04
1	2.45607764365527	7	1.22081700245193E-04
1	1.6535706312092	7	1.21196978188219E-04
1	0.831690108507448	7	1.00491343395502E-04
1	1.66666665350525E-03	7	1.10420300644855E-06
1	0	8	2.48490380144912E-06
1	0.555068021927927	8	2.25602265550251E-04
1	1.10721002280836	8	2.25094441503207E-04
1	1.65349593690892	8	2.69267518406058E-04
1	2.19098785218065	8	2.67862751274498E-04
1	2.7167367022572	8	2.79044909612438E-04
1	3.22777971763081	8	2.76782672681489E-04
1	3.72113892377078	8	2.9620280964687E-04
1	4.19382100305537	8	2.92980405212628E-04
1	4.64281887274069	8	3.69138146306071E-04
1	5.06511537174329	8	3.64160227540041E-04
1	5.45768949313032	8	3.58803697130775E-04
1	5.81752564444358	8	5.42388096038047E-04
1	6.14162646079862	8	5.33188962521105E-04
1	6.42702973118619	8	5.23607466786813E-04
1	6.67083001995199	8	6.82761494704835E-04
1	6.87020556446774	8	6.69304592397956E-04
1	7.02245099580202	8	6.55638885597227E-04
1	7.1250163489018	8	6.41868378180009E-04
1	7.17555268778523	8	6.28097872435483E-04
1	7.17196445402296	8	6.14432169816484E-04
1	7.1124683385447	8	6.00975274658374E-04
1	6.99565806592366	8	5.87829601999991E-04
1	6.82057396176264	8	5.75095198308235E-04
1	6.58677555362946	8	5.62868979845554E-04
1	6.29441475606789	8	4.1476149145064E-04
1	5.94430645303396	8	4.06533681995094E-04
1	5.53799258295177	8	3.98887433059248E-04
1	5.07779524254357	8	2.55125106622177E-04
1	4.56685396461038	8	2.51014899709019E-04
1	4.0091423083372	8	1.93951509985948E-04
1	3.40945933377928	8	1.77249436550261E-04
1	2.77339248550727	8	1.75374563863303E-04
1	2.10724989458072	8	1.65818459397076E-04
1	1.41796205347727	8	1.37255446869323E-04
1	0.712955067289236	8	1.36747623081148E-04
1	1.42857141791517E-03	8	1.50307212677431E-06
1	0	9	3.06786641553717E-06
1	0.499543059998384	9	3.06576473756006E-06
1	0.996344151562032	9	2.77968747418458E-04
1	1.48765971491556	9	2.77021409225179E-04
