windSpeed	relativeAngle	shipSpeed	value
1	0	5	3.76044951172968E-06
1	0.832745573421944	5	3.41365468837505E-04
1	1.66196100935926	5	4.08591773565861E-04
1	2.48409829788568	5	4.06439618875862E-04
1	3.29557376974449	5	4.23115924945384E-04
1	4.09275049529302	5	4.52839685906834E-04
1	4.87192099979182	5	5.70966755167665E-04
1	5.62929047284066	5	8.65166821184815E-04
1	6.36096071645427	5	8.51728555670549E-04
1	7.06291516547347	5	1.1121829185341E-03
1	7.73100542955195	5	1.26688676239363E-03
1	8.3609399522593	5	1.23984702670123E-03
1	8.94827556462708	5	1.46643564610192E-03
1	9.48841293228737	5	1.42983003387148E-03
1	9.97659716076109	5	1.51906206663345E-03
1	10.4079251336721	5	1.47610179238135E-03
1	10.7773615106102	5	1.73632117443273E-03
1	11.0797656947755	5	1.68217522640791E-03
1	11.3099324740202	5	1.62761410650884E-03
1	11.4626494048592	5	0.001573053058737
1	11.5327742875568	5	1.84435185782236E-03
1	11.5153361829593	5	1.77960917107241E-03
1	11.4056632258823	5	1.41350381673081E-03
1	11.1995398379713	5	1.36304821765673E-03
1	10.8933946491309	5	1.31460617759688E-03
1	10.484518307592	5	1.04630297621948E-03
1	9.97130723521349	5	1.0105667026026E-03
1	9.353525208112	5	8.95414654798517E-04
1	8.63256954578244	5	8.67534438498051E-04
1	7.8117230989222	5	6.95733298196707E-04
1	6.89636793222882	5	5.8313286688126E-04
1	5.89413277461933	5	4.2856136304629E-04
1	4.81494537494281	5	2.73504834246563E-04
1	3.67096422112091	5	2.11039427798353E-04
1	2.4763725059582	5	1.84096363809453E-04
1	1.24703058964111	5	1.52238717469767E-04
1	2.49999997620336E-03	5	1.67063426909028E-06
1	0	6	5.11882949503246E-06
1	0.713730554220195	6	4.64695662223323E-04
1	1.42412777149046	6	4.63398574042861E-04
1	2.12784647189636	6	5.53836623392989E-04
1	2.82151797828422	6	5.77070726807549E-04
1	3.50173885234177	6	6.18316312765462E-04
1	4.16506024900543	6	6.12073272963565E-04
1	4.80797815748515	6	7.71441335897951E-04
1	5.42692485248258	6	7.60942938859423E-04
1	6.01826195054938	6	1.15094344157785E-03
1	6.57827555511057	6	1.50372485662159E-03
1	7.10317408033154	6	1.47579326043167E-03
1	7.58908946897494	6	1.67992550354424E-03
1	8.03208266173777	6	1.64364692582651E-03
1	8.42815433241336	6	1.60586045907271E-03
1	8.77326206877758	6	1.89719143239943E-03
1	9.06334534329923	6	1.84884260129039E-03
1	9.29435976474647	6	1.79974361574323E-03
1	9.46232220802562	6	1.75026815061045E-03
1	9.56336845230783	6	1.85643826566596E-03
1	9.59382487312071	6	1.80284615661632E-03
1	9.55029547809555	6	1.75007298008758E-03
1	9.42976508483881	6	1.55611507206913E-03
1	9.22971864547086	6	1.51036242370183E-03
1	8.94827556462708	6	1.46643564610192E-03
1	8.58433629777866	6	1.4246690423963E-03
1	8.13773656191702	6	1.14416009781919E-03
1	7.60940222174397	6	1.11400598121595E-03
1	7.00149551348363	6	9.35165351600565E-04
1	6.31754103694823	6	6.87500143908769E-04
1	5.56251830239617	6	6.73267290167434E-04
1	4.74290705654641	6	4.30350993300903E-04
1	3.86667261831213	6	3.32220653894491E-04
1	2.94318138117319	6	3.03723500238342E-04
1	1.98304155751473	6	2.87023908664661E-04
1	0.997870823032071	6	2.37742986712847E-04
1	1.9999999829427E-03	6	2.61105114314243E-06
1	0	7	6.68619111202663E-06
1	0.624479351689207	7	6.07011303630312E-04
1	1.24583333225974	7	6.05498028916572E-04
1	1.86092921349558	7	7.24030245130713E-04
1	2.46661978471589	7	7.19844142384784E-04
